"DateTime","2020-08-13 00:01:41",
"BoardName","PNL1235F-SAY-",
"BarCode","",
"TestStat","Pass",
"OpenTest","Pass",
"ShortTest","Pass",
"OpenTest","Pass",
"ShortTest","Pass",
"CompTest:",
"STEP","BX","LC","Flag","Device Name","STDval","ACTval","+%","-%","MD","RG","TM","A","B","G-1","G-2","G-3","G-4","G-5","TestVal","Dev%","Result",
"1","B1","A1","","R1","","10KO","10","10","CV"," 0","0","141","343","1","0","0","0","0","9.983","  0%","Pass",
"2","B1","A1","","R2/R84","7.7KO","33KO","10","10","CV"," 0","0","9","304","0","0","0","0","0","7.753","  1%","Pass",
"3","B1","A1","","R3/R85","7.7KO","33KO","10","10","CV"," 0","0","9","305","0","0","0","0","0","7.790","  1%","Pass",
"4","B1","A1","","R4/R86","7.7KO","33KO","10","10","CV"," 0","0","9","303","0","0","0","0","0","7.723","  0%","Pass",
"5","B1","A1","","R5","","4.7KO","10","10","CC"," 0","0","328","9","0","0","0","0","0","4.666"," -1%","Pass",
"6","B1","A1","","R8","","10KO","10","10","CV"," 0","0","317","9","0","0","0","0","0","10.08","  1%","Pass",
"7","B1","A1","","R9","","10KO","10","10","CV"," 0","0","325","9","0","0","0","0","0","9.946"," -1%","Pass",
"8","B1","A1","","R10","","10KO","10","10","CV"," 0","0","315","9","0","0","0","0","0","9.959","  0%","Pass",
"9","B1","A1","","R14","","33KO","10","10","CC"," 0","0","337","9","0","0","0","0","0","33.24","  1%","Pass",
"10","B1","A1","","R15","","33KO","10","10","CC"," 0","0","9","338","0","0","0","0","0","31.80"," -4%","Pass",
"11","B1","A1","","R16","","33KO","10","10","CC"," 0","0","150","9","0","0","0","0","0","32.80"," -1%","Pass",
"12","B1","A1","","R17","","33KO","10","10","CC"," 0","0","225","9","0","0","0","0","0","32.90","  0%","Pass",
"13","B1","A1","","R18","","10KO","10","10","CV"," 0","0","324","9","0","0","0","0","0","10.02","  0%","Pass",
"14","B1","A1","","R19","","10KO","10","10","CV"," 0","0","342","1","0","0","0","0","0","10.04","  0%","Pass",
"15","B1","A1","","R20","","10KO","10","10","CV"," 0","0","183","9","0","0","0","0","0","10.02","  0%","Pass",
"16","B1","A1","","R21/NC","","0","10","10","CC"," 0","0","9","176","0","0","0","0","0","","","Skip",
"17","B1","A1","","R22","","10KO","10","10","CV"," 0","0","9","174","0","0","0","0","0","10.07","  1%","Pass",
"18","B1","A1","","R23/NC","","0","10","10","CC"," 0","0","184","1","0","0","0","0","0","","","Skip",
"19","B1","A1","","R24","","10KO","10","10","CV"," 0","0","1","13","0","0","0","0","0","10.07","  1%","Pass",
"20","B1","A1","","R25","","10KO","10","10","CV"," 0","0","12","1","0","0","0","0","0","9.910"," -1%","Pass",
"21","B1","A1","","R26","","10KO","10","10","CV"," 0","0","53","1","0","0","0","0","0","9.995","  0%","Pass",
"22","B1","A1","","R27","","10KO","10","10","CV"," 0","0","11","1","0","0","0","0","0","10.22","  2%","Pass",
"23","B1","A1","","R28","","22KO","10","10","CC"," 0","0","27","9","0","0","0","0","0","22.21","  1%","Pass",
"24","B1","A1","","R29","","22KO","10","10","CC"," 0","0","171","9","0","0","0","0","0","22.03","  0%","Pass",
"25","B1","A1","","R31","","47","10","10","CC"," 0","0","168","5","0","0","0","0","0","47.44","  1%","Pass",
"26","B1","A1","","R32","","47","10","10","CC"," 0","0","168","6","0","0","0","0","0","48.09","  2%","Pass",
"27","B1","A1","","R33","","47","10","10","CC"," 0","0","187","144","0","0","0","0","0","47.41","  1%","Pass",
"28","B1","A1","","R34","","1KO","10","10","CC"," 0","0","179","161","0","0","0","0","0","1.000","  0%","Pass",
"29","B1","A1","","R35","","1KO","10","10","CC"," 0","0","336","334","0","0","0","0","0","1.001","  0%","Pass",
"30","B1","A1","","R36","","4.7KO","10","10","CV"," 0","0","9","139","0","0","0","0","0","4.763","  1%","Pass",
"31","B1","A1","","R40","","4.7KO","10","10","CV"," 0","0","9","318","0","0","0","0","0","4.711","  0%","Pass",
"32","B1","A1","","R41","","4.7KO","10","10","CV"," 0","0","9","319","0","0","0","0","0","4.727","  1%","Pass",
"33","B1","A1","","R42","","4.7KO","10","10","CV"," 0","0","9","320","0","0","0","0","0","4.760","  1%","Pass",
"34","B1","A1","","R43","","4.7KO","10","10","CV"," 0","0","204","9","0","0","0","0","0","4.741","  1%","Pass",
"35","B1","A1","","R44","","4.7KO","10","10","CV"," 0","0","203","9","0","0","0","0","0","4.711","  0%","Pass",
"36","B1","A1","","R45","","4.7KO","10","10","CV"," 0","0","202","9","0","0","0","0","0","4.690","  0%","Pass",
"37","B1","A1","","R46","","47KO","10","10","CV"," 0","0","361","1","0","0","0","0","0","46.90","  0%","Pass",
"38","B1","A1","","R47","","47KO","10","10","CC"," 0","0","333","7","0","0","0","0","0","46.84","  0%","Pass",
"39","B1","A1","","R51","","10KO","10","10","CC"," 0","0","332","333","0","0","0","0","0","10.13","  1%","Pass",
"40","B1","A1","","R52","","10KO","10","10","CC"," 0","0","330","336","0","0","0","0","0","9.879"," -1%","Pass",
"41","B1","A1","","R54","","10KO","10","10","CV"," 0","8","9","226","1","0","0","0","0","9.563"," -4%","Pass",
"42","B1","A1","","R55","","10KO","10","10","CV"," 0","0","9","359","0","0","0","0","0","10.09","  1%","Pass",
"43","B1","A1","","R56","","100KO","10","10","CV"," 0","30","182","7","1","0","0","0","0","99.59","  0%","Pass",
"44","B1","A1","","R57","","100KO","10","10","CV"," 0","0","1","330","336","0","0","0","0","100.6","  1%","Pass",
"45","B1","A1","","R59","","100KO","10","10","CC"," 0","0","360","1","0","0","0","0","0","106.2","  6%","Pass",
"46","B1","A1","","R61","","220","10","10","CC"," 0","0","9","331","0","0","0","0","0","221.1","  0%","Pass",
"47","B1","A1","","R62","","220","10","10","CC"," 0","0","335","7","0","0","0","0","0","220.4","  0%","Pass",
"48","B1","A1","","R65","","47","10","10","CC"," 0","10","345","9","339","0","0","0","0","48.78","  4%","Pass",
"49","B1","A1","","R66","","47","10","10","CC"," 0","10","339","345","346","1","0","0","0","48.88","  4%","Pass",
"50","B1","A1","","R67","","47","10","10","CC"," 0","10","346","9","339","0","0","0","0","48.75","  4%","Pass",
"51","B1","A1","","R68","","47","10","10","CC"," 0","10","339","346","345","1","334","0","0","48.78","  4%","Pass",
"52","B1","A1","","R69","","2.2KO","10","10","CC"," 0","8","340","7","2","1","0","0","0","2.120"," -4%","Pass",
"53","B1","A1","","R70","","4.7KO","10","10","CC"," 0","0","340","1","331","333","7","0","0","4.952","  5%","Pass",
"54","B1","A1","","R71/R","1JP","1.6","10","10","JP"," 0","0","1","145","0","0","0","0","0","1.000","  0%","Pass",
"55","B1","A1","","R72/NC/R","","0","10","10","CC"," 0","10","1","145","0","0","0","0","0","","","Skip",
"56","B1","A1","","R74","","220","10","10","CC"," 0","10","357","9","0","0","0","0","0","219.9","  0%","Pass",
"57","B1","A1","","R77","","220","10","10","CC"," 0","10","205","208","0","0","0","0","0","221.4","  1%","Pass",
"58","B1","A1","","R78","","220","10","10","CC"," 0","10","206","207","0","0","0","0","0","222.3","  1%","Pass",
"59","B1","A1","","R80","","33KO","10","10","CC"," 0","10","1","208","0","0","0","0","0","32.92","  0%","Pass",
"60","B1","A1","","R81","","33KO","10","10","CC"," 0","10","1","207","0","0","0","0","0","33.05","  0%","Pass",
"61","B1","A1","","R84/R2","7.7KO","10KO","10","10","CV"," 0","0","9","304","0","0","0","0","0","7.753","  1%","Pass",
"62","B1","A1","","R85/R3","7.7KO","10KO","10","10","CV"," 0","0","9","305","0","0","0","0","0","7.790","  1%","Pass",
"63","B1","A1","","R86/R4","7.7KO","10KO","10","10","CV"," 0","0","9","303","0","0","0","0","0","7.731","  0%","Pass",
"64","B1","A1","","R90/R","","1JP","10","10","JP"," 0","0","1","165","0","0","0","0","0","1","  0%","Pass",
"65","B1","A1","","R91/R","","1JP","10","10","JP"," 0","0","1","165","0","0","0","0","0","1","  0%","Pass",
"66","B1","A1","","R92/R","","1JP","10","10","JP"," 0","0","165","1","0","0","0","0","0","1","  0%","Pass",
"67","B1","A1","","R93/R","","1JP","10","10","JP"," 0","0","1","165","0","0","0","0","0","1","  0%","Pass",
"68","B1","A1","","R94/R","","1JP","10","10","JP"," 0","0","165","1","0","0","0","0","0","1","  0%","Pass",
"69","B1","A1","","R95","","1JP","10","10","JP"," 0","0","77","1","0","0","0","0","0","1","  0%","Pass",
"70","B1","A1","","R96/NC","","0","10","10","CC"," 0","0","77","165","0","0","0","0","0","","","Skip",
"71","B1","A1","","R99","","100KO","10","10","CV"," 0","0","1","343","141","0","0","0","0","100.3","  0%","Pass",
"72","B1","A1","","R100","1JP","240","10","10","JP"," 0","0","46","355","0","0","0","0","0","1.000","  0%","Pass",
"73","B1","A1","","R101","1JP","240","10","10","JP"," 0","0","354","45","0","0","0","0","0","1.000","  0%","Pass",
"74","B1","A1","","R102","1JP","240","10","10","JP"," 0","0","353","44","0","0","0","0","0","1.000","  0%","Pass",
"75","B1","A1","","R103","1JP","240","10","10","JP"," 0","0","352","43","0","0","0","0","0","1.000","  0%","Pass",
"76","B1","A1","","R104","1JP","240","10","10","JP"," 0","0","190","41","0","0","0","0","0","1.000","  0%","Pass",
"77","B1","A1","","R105","1JP","240","10","10","JP"," 0","0","351","40","0","0","0","0","0","1.000","  0%","Pass",
"78","B1","A1","","R106","1JP","240","10","10","JP"," 0","0","63","52","0","0","0","0","0","1.000","  0%","Pass",
"79","B1","A1","","R107","1JP","240","10","10","JP"," 0","0","62","51","0","0","0","0","0","1.000","  0%","Pass",
"80","B1","A1","","R108","1JP","240","10","10","JP"," 0","0","249","38","0","0","0","0","0","1.000","  0%","Pass",
"81","B1","A1","","R109","1JP","240","10","10","JP"," 0","0","248","37","0","0","0","0","0","1.000","  0%","Pass",
"82","B1","A1","","R110","1JP","240","10","10","JP"," 0","0","247","39","0","0","0","0","0","1.000","  0%","Pass",
"83","B1","A1","","R111","1JP","240","10","10","JP"," 0","0","246","34","0","0","0","0","0","1.000","  0%","Pass",
"84","B1","A1","","R112","1JP","240","10","10","JP"," 0","0","245","36","0","0","0","0","0","1.000","  0%","Pass",
"85","B1","A1","","R113","1JP","240","10","10","JP"," 0","0","244","35","0","0","0","0","0","1.000","  0%","Pass",
